fpl_id,full_name,position,latest_team,2023/24,2024/25,min_2023/24,min_2024/25,proj_pts,rep_dyn,vorp_dyn,rec_bid_dyn,tier_dyn,aav
8,Jurriën Timber,DEF,Arsenal,0.0,114.0,70.0,2415.0,55.36360776685465,62.18306531579047,0.0,0.0,2,
442,Harry Maguire,DEF,Man Utd,73.0,48.0,1650.0,1751.0,55.19026857872939,62.18306531579047,0.0,0.0,2,
152,Joël Veltman,DEF,Brighton,49.0,59.0,1579.0,1694.0,54.60761382746481,62.18306531579047,0.0,0.0,2,
438,Noussair Mazraoui,DEF,Man Utd,,88.0,,2836.0,49.62713846839,62.18306531579047,0.0,0.0,2,
606,Konstantinos Mavropanos,DEF,West Ham,40.0,45.0,1500.0,2035.0,48.32093291518916,62.18306531579047,0.0,0.0,2,
108,Kristoffer Ajer,DEF,Brentford,68.0,39.0,1826.0,1433.0,47.34829904993194,62.18306531579047,0.0,0.0,2,
72,Marcos Senesi Barón,DEF,Bournemouth,102.0,31.0,2239.0,1103.0,47.17769374239551,62.18306531579047,0.0,0.0,2,
437,Lisandro Martínez,DEF,Man Utd,15.0,68.0,643.0,1751.0,46.85957058871883,62.18306531579047,0.0,0.0,2,
112,Mads Roerslev Rasmussen,DEF,Brentford,75.0,36.0,1975.0,1100.0,45.34842256009363,62.18306531579047,0.0,0.0,2,
575,Micky van de Ven,DEF,Spurs,81.0,32.0,2341.0,1014.0,45.29587797721219,62.18306531579047,0.0,0.0,2,
322,Kenny Tete,DEF,Fulham,27.0,49.0,863.0,1773.0,44.437957178375974,62.18306531579047,0.0,0.0,2,
9,Jakub Kiwior,DEF,Arsenal,67.0,43.0,942.0,1117.0,43.73215745985476,62.18306531579047,0.0,0.0,2,
405,Nathan Aké,DEF,Man City,99.0,25.0,2039.0,677.0,40.31389557829777,62.18306531579047,0.0,0.0,2,
636,Santiago Ignacio Bueno,DEF,Wolves,13.0,52.0,819.0,1678.0,40.10042268825548,62.18306531579047,0.0,0.0,3,
113,Sepp van den Berg,DEF,Brentford,0.0,62.0,0.0,2584.0,39.94673234767852,62.18306531579047,0.0,0.0,3,
659,Kyle Walker-Peters,DEF,West Ham,,54.0,,2918.0,39.110727398374145,62.18306531579047,0.0,0.0,3,
436,Matthijs de Ligt,DEF,Man Utd,,68.0,,2119.0,38.68865689402856,62.18306531579047,0.0,0.0,3,
187,Kyle Walker,DEF,Burnley,123.0,13.0,2766.0,966.0,37.91978369548647,62.18306531579047,0.0,0.0,3,
320,Issa Diop,DEF,Fulham,43.0,31.0,1423.0,1334.0,37.280905610518815,62.18306531579047,0.0,0.0,3,
12,Oleksandr Zinchenko,DEF,Arsenal,104.0,40.0,1717.0,518.0,36.805575145740775,62.18306531579047,0.0,0.0,3,
43,Álex Moreno Lopera,DEF,Aston Villa,49.0,34.0,1024.0,952.0,34.888310723658435,62.18306531579047,0.0,0.0,3,
39,Ian Maatsen,DEF,Aston Villa,11.0,57.0,200.0,1125.0,34.69487498472784,62.18306531579047,0.0,0.0,3,
571,Ben Davies,DEF,Spurs,34.0,28.0,1085.0,1329.0,33.7176459679049,62.18306531579047,0.0,0.0,3,
153,Adam Webster,DEF,Brighton,26.0,39.0,1142.0,885.0,33.59744992390671,62.18306531579047,0.0,0.0,3,
150,Tariq Lamptey,DEF,Brighton,31.0,42.0,908.0,856.0,33.49868883945159,62.18306531579047,0.0,0.0,3,
293,Jake O'Brien,DEF,Everton,0.0,65.0,0.0,1568.0,33.01878094658548,62.18306531579047,0.0,0.0,3,
377,Konstantinos Tsimikas,DEF,Liverpool,48.0,43.0,675.0,829.0,32.82602737163709,62.18306531579047,0.0,0.0,3,
295,Michael Keane,DEF,Everton,18.0,48.0,437.0,1046.0,32.632516145755815,62.18306531579047,0.0,0.0,3,
609,Jean-Clair Todibo,DEF,West Ham,,54.0,,1824.0,32.49377254362265,62.18306531579047,0.0,0.0,3,
225,Reece James,DEF,Chelsea,11.0,54.0,416.0,1057.0,32.32966621237894,62.18306531579047,0.0,0.0,3,
573,Djed Spence,DEF,Spurs,0.0,51.0,0.0,1790.0,31.417832427420453,62.18306531579047,0.0,0.0,3,
375,Conor Bradley,DEF,Liverpool,50.0,41.0,752.0,744.0,31.29962548567952,62.18306531579047,0.0,0.0,3,
409,John Stones,DEF,Man City,53.0,29.0,1061.0,544.0,29.31614171628959,62.18306531579047,0.0,0.0,3,
376,Joe Gomez,DEF,Liverpool,76.0,14.0,1772.0,517.0,28.211646481895592,62.18306531579047,0.0,0.0,3,
149,Igor Julio dos Santos de Paulo,DEF,Brighton,37.0,18.0,1631.0,959.0,27.936566073535186,62.18306531579047,0.0,0.0,3,
572,Radu Drăgușin,DEF,Spurs,14.0,24.0,424.0,1250.0,27.11509422454841,62.18306531579047,0.0,0.0,3,
631,Emmanuel Agbadou,DEF,Wolves,,45.0,,1410.0,26.55530281778508,62.18306531579047,0.0,0.0,3,
475,Sven Botman,DEF,Newcastle,51.0,18.0,1375.0,412.0,25.871495671441664,62.18306531579047,0.0,0.0,3,
263,Nathaniel Clyne,DEF,Crystal Palace,52.0,18.0,1335.0,477.0,25.684450031803014,62.18306531579047,0.0,0.0,3,
198,Axel Tuanzebe,DEF,Burnley,,27.0,,1710.0,24.49701516793274,62.18306531579047,0.0,0.0,3,
10,Myles Lewis-Skelly,DEF,Arsenal,0.0,37.0,0.0,1362.0,24.216010203167393,62.18306531579047,0.0,0.0,3,
40,Tyrone Mings,DEF,Aston Villa,0.0,47.0,30.0,1119.0,24.099734398817603,62.18306531579047,0.0,0.0,3,
7,Riccardo Calafiori,DEF,Arsenal,,39.0,,978.0,20.46996820627479,62.18306531579047,0.0,0.0,3,
