fpl_id,full_name,team,position,season,minutes,goals,assists,clean_sheets,goals_conceded,yellow_cards,red_cards,saves,penalties_saved,penalties_missed,own_goals
83,Dango Ouattara,Bournemouth,MID,2024/25,1998,7,4,7,23,3,0,0,0,0,0
84,Marcus Tavernier,Bournemouth,MID,2023/24,2118,3,4,8,38,3,0,0,0,0,0
84,Marcus Tavernier,Bournemouth,MID,2024/25,1932,3,7,4,29,6,0,0,0,0,0
85,Tyler Adams,Bournemouth,MID,2023/24,118,0,0,0,3,0,0,0,0,0,0
85,Tyler Adams,Bournemouth,MID,2024/25,1959,0,3,6,30,7,0,0,0,0,0
86,David Brooks,Bournemouth,MID,2023/24,271,1,1,0,7,1,0,0,0,0,0
86,David Brooks,Bournemouth,MID,2024/25,941,2,1,3,12,3,0,0,0,0,0
87,Ryan Christie,Bournemouth,MID,2023/24,2908,0,5,8,56,6,0,0,0,0,0
87,Ryan Christie,Bournemouth,MID,2024/25,2114,2,3,8,28,9,0,0,0,0,0
88,Lewis Cook,Bournemouth,MID,2023/24,2787,0,3,8,51,5,1,0,0,0,0
88,Lewis Cook,Bournemouth,MID,2024/25,2976,1,4,5,44,8,1,0,0,0,0
89,Philip Billing,Bournemouth,MID,2023/24,1385,2,3,2,36,3,1,0,0,0,0
89,Philip Billing,Bournemouth,MID,2024/25,176,0,0,0,4,1,0,0,0,0,0
90,Alex Scott,Bournemouth,MID,2023/24,1003,1,1,3,25,3,0,0,0,0,0
90,Alex Scott,Bournemouth,MID,2024/25,745,0,0,3,8,3,0,0,0,0,0
91,Luis Sinisterra Lucumí,Bournemouth,MID,2023/24,685,2,2,1,18,0,0,0,0,0,0
91,Luis Sinisterra Lucumí,Bournemouth,MID,2024/25,229,1,1,0,4,0,0,0,0,0,0
92,Romain Faivre,Bournemouth,MID,2023/24,37,0,0,0,1,1,0,0,0,0,0
92,Romain Faivre,Bournemouth,MID,2024/25,0,0,0,0,0,0,0,0,0,0,0
93,Hamed Traorè,Bournemouth,MID,2023/24,44,0,0,0,1,0,0,0,0,0,0
93,Hamed Traorè,Bournemouth,MID,2024/25,0,0,0,0,0,0,0,0,0,0,0
94,Dominic Sadi,Bournemouth,MID,2023/24,1,0,0,0,0,0,0,0,0,0,0
94,Dominic Sadi,Bournemouth,MID,2024/25,0,0,0,0,0,0,0,0,0,0,0
95,Zain Silcott-Duberry,Bournemouth,MID,2024/25,1,0,0,0,0,0,0,0,0,0,0
96,Ben Winterburn,Bournemouth,MID,2024/25,22,0,0,0,0,0,0,0,0,0,0
97,Francisco Evanilson de Lima Barbosa,Bournemouth,FWD,2024/25,2317,10,5,11,30,1,1,0,0,1,0
98,Enes Ünal,Bournemouth,FWD,2023/24,317,2,4,1,9,1,0,0,0,0,0
98,Enes Ünal,Bournemouth,FWD,2024/25,330,2,1,2,3,2,0,0,0,0,0
99,Daniel Adu-Adjei,Bournemouth,FWD,2024/25,0,0,0,0,0,0,0,0,0,0,0
101,Caoimhín Kelleher,Brentford,GK,2023/24,900,0,0,2,11,0,0,28,0,0,0
101,Caoimhín Kelleher,Brentford,GK,2024/25,900,0,0,4,12,0,0,27,1,0,0
102,Ellery Balcombe,Brentford,GK,2023/24,0,0,0,0,0,0,0,0,0,0,0
103,Matthew Cox,Brentford,GK,2023/24,0,0,0,0,0,0,0,0,0,0,0
104,Julian Eyestone,Brentford,GK,2024/25,0,0,0,0,0,0,0,0,0,0,0
105,Hákon Rafn Valdimarsson,Brentford,GK,2023/24,0,0,0,0,0,0,0,0,0,0,0
105,Hákon Rafn Valdimarsson,Brentford,GK,2024/25,144,0,0,0,2,0,0,3,0,0,0
