fpl_id,2023/24,2024/25,min_2023/24,min_2024/25,full_name,position,latest_team
245,94.0,7.0,1564.0,145.0,Mykhailo Mudryk,MID,Chelsea
246,1.0,0.0,7.0,0.0,Andrey Nascimento dos Santos,MID,Chelsea
249,104.0,126.0,2037.0,1946.0,João Pedro Junqueira de Jesus,FWD,Chelsea
250,,132.0,,2587.0,Liam Delap,FWD,Chelsea
251,142.0,121.0,2801.0,2220.0,Nicolas Jackson,FWD,Chelsea
252,,3.0,,71.0,Marc Guiu Paz,FWD,Sunderland
253,48.0,135.0,1620.0,3420.0,Dean Henderson,GK,Crystal Palace
255,1.0,0.0,3.0,0.0,Remi Matthews,GK,Crystal Palace
256,56.0,142.0,1440.0,3229.0,Daniel Muñoz Mejía,DEF,Crystal Palace
257,,114.0,,3116.0,Maxence Lacroix,DEF,Crystal Palace
258,119.0,123.0,3204.0,3090.0,Tyrick Mitchell,DEF,Crystal Palace
260,66.0,116.0,2020.0,3059.0,Marc Guéhi,DEF,Crystal Palace
261,62.0,68.0,2091.0,1921.0,Chris Richards,DEF,Crystal Palace
262,,1.0,,90.0,Chadi Riad Dnanou,DEF,Crystal Palace
263,52.0,18.0,1335.0,477.0,Nathaniel Clyne,DEF,Crystal Palace
264,0.0,0.0,0.0,0.0,Rob Holding,DEF,Crystal Palace
265,,2.0,,11.0,Caleb Kporha,DEF,Crystal Palace
266,136.0,148.0,2054.0,2588.0,Eberechi Eze,MID,Crystal Palace
267,,149.0,,2708.0,Ismaïla Sarr,MID,Crystal Palace
268,21.0,19.0,920.0,443.0,Cheick Doucouré,MID,Crystal Palace
269,,22.0,,138.0,Romain Esse,MID,Crystal Palace
270,61.0,67.0,1886.0,2100.0,Will Hughes,MID,Crystal Palace
271,,45.0,,1545.0,Daichi Kamada,MID,Crystal Palace
272,64.0,58.0,2399.0,2270.0,Jefferson Lerma Solís,MID,Crystal Palace
273,50.0,42.0,1296.0,1314.0,Adam Wharton,MID,Crystal Palace
274,,2.0,,4.0,Asher Agbinone,MID,Crystal Palace
275,16.0,0.0,332.0,0.0,Naouirou Ahamada,MID,Crystal Palace
276,,34.0,,494.0,Justin Devenny,MID,Crystal Palace
277,0.0,0.0,0.0,0.0,Malcolm Ebiowei,MID,Crystal Palace
278,8.0,0.0,132.0,0.0,Jesurun Rak-Sakyi,MID,Crystal Palace
